35798	2014.06.18	09:02:19.897	5	407	0065-0136670531	
35799	2014.06.18	09:02:20.511	6	3946	0065-0136670531	
35800	2014.06.18	09:02:27.048	7	1110	0065-0136670531	
35801	2014.06.18	09:02:27.820	5	900	0065-0136659459	
35802	2014.06.18	09:02:29.146	5	1302	0065-0136671473	
35803	2014.06.18	09:02:28.363	8	3462	0065-0136670531	
35805	2014.06.18	09:02:30.702	6	3273	0065-0136671473	
35807	2014.06.18	09:02:36.844	7	323	0065-0136671473	
35809	2014.06.18	09:02:37.245	8	1427	0065-0136671473	
35823	2014.06.18	09:03:05.504	8	1013	0065-0136671473	
35824	2014.06.18	09:03:06.584	7	5911	0065-0136671473	
35825	2014.06.18	09:03:16.651	7	1880	0065-0136671473	
35827	2014.06.18	09:03:18.619	8	5449	0065-0136671473	
35837	2014.06.18	09:04:08.443	8	1209	0065-0136651817	
35838	2014.06.18	09:04:09.754	7	3187	0065-0136651817	
35841	2014.06.18	09:04:42.593	7	1579	0065-0136651817	
35842	2014.06.18	09:04:44.354	8	4299	0065-0136651817	
35843	2014.06.18	09:04:52.245	8	365	0065-0136659459	
35844	2014.06.18	09:04:52.615	7	500	0065-0136659459	
35847	2014.06.18	09:04:53.985	6	315	0065-0136659459	
35848	2014.06.18	09:04:54.338	5	504	0065-0136659459	
35861	2014.06.18	09:07:22.197	8	438	0065-0136659459	
35862	2014.06.18	09:07:22.621	7	408	0065-0136659459	
35863	2014.06.18	09:07:23.707	7	1990	0065-0136659459	
35864	2014.06.18	09:09:22.537	6	505	0065-0136659459	
35865	2014.06.18	09:09:22.995	5	2481	0065-0136659459	
35882	2014.06.18	09:13:35.246	5	902	0065-0136661759	
35883	2014.06.18	09:13:36.363	6	1274	0065-0136661759	
35884	2014.06.18	09:13:47.767	6	429	0065-0136661759	
35885	2014.06.18	09:13:48.106	5	404	0065-0136661759	
35888	2014.06.18	09:14:35.982	8	903	0065-0136667521	
35891	2014.06.18	09:14:37.792	7	5028	0065-0136667521	
35892	2014.06.18	09:14:50.468	6	811	0065-0136667521	
35893	2014.06.18	09:14:51.748	5	7411	0065-0136667521	
35894	2014.06.18	09:15:07.691	5	719	0065-0136653169	
35895	2014.06.18	09:15:08.456	6	2311	0065-0136653169	
35896	2014.06.18	09:15:33.947	7	214	0065-0136653169	
35897	2014.06.18	09:15:34.187	7	1058	0065-0136653169	
35898	2014.06.18	09:15:35.422	8	2515	0065-0136653169	
35903	2014.06.18	09:16:12.577	8	623	0065-0136653169	
35904	2014.06.18	09:16:13.179	7	6253	0065-0136653169	
35905	2014.06.18	09:16:19.571	7	360	0065-0136653169	
35906	2014.06.18	09:16:19.971	7	2145	0065-0136653169	
35913	2014.06.18	09:17:23.888	5	711	0065-0136665886	
35914	2014.06.18	09:17:24.739	6	1000	0065-0136665886	
35915	2014.06.18	09:17:25.761	6	613	0065-0136665886	
35916	2014.06.18	09:17:26.384	6	617	0065-0136665886	
35917	2014.06.18	09:17:27.007	6	450	0065-0136665886	
35918	2014.06.18	09:17:31.113	7	1491	0065-0136665886	
35919	2014.06.18	09:17:32.785	8	4419	0065-0136665886	
35926	2014.06.18	09:18:32.065	5	2769	0065-0136665886	
35927	2014.06.18	09:18:34.947	6	2960	0065-0136665886	
35928	2014.06.18	09:18:37.934	6	1089	0065-0136665886	
35931	2014.06.18	09:18:53.990	6	1304	0065-0136665886	
35933	2014.06.18	09:18:55.229	5	1551	0065-0136665886	
35934	2014.06.18	09:18:57.033	5	214	0065-0136665886	
35939	2014.06.18	09:19:06.170	5	1282	0065-0136661759	
35940	2014.06.18	09:19:06.595	7	931	0065-0136653169	
35941	2014.06.18	09:19:07.744	6	2407	0065-0136661759	
35942	2014.06.18	09:19:11.020	6	217	0065-0136661759	
35943	2014.06.18	09:19:11.323	6	230	0065-0136661759	
35944	2014.06.18	09:19:07.608	8	4038	0065-0136653169	
35945	2014.06.18	09:19:11.579	6	224	0065-0136661759	
35946	2014.06.18	09:19:11.850	6	1531	0065-0136661759	
35948	2014.06.18	09:19:29.096	7	3366	0065-0136661759	
35949	2014.06.18	09:19:32.672	8	1920	0065-0136661759	
35950	2014.06.18	09:19:36.538	8	650	0065-0136667521	
