17649	2014.06.17	06:05:50.472	4	538	0065-0136665886	
17650	2014.06.17	06:05:51.162	3	1221	0065-0136665886	
17651	2014.06.17	06:05:54.023	3	325	0065-0136665886	
17652	2014.06.17	06:05:58.240	3	454	0065-0136665886	
17653	2014.06.17	06:05:58.732	4	653	0065-0136665886	
17659	2014.06.17	06:09:44.694	2	999	0065-0136653169	
17660	2014.06.17	06:09:49.650	1	5722	0065-0136653169	
17661	2014.06.17	06:10:01.533	1	510	0065-0136653169	
17662	2014.06.17	06:10:03.211	2	2215	0065-0136653169	
17663	2014.06.17	06:10:11.443	3	1601	0065-0136653169	
17664	2014.06.17	06:10:13.536	4	4127	0065-0136653169	
17676	2014.06.17	06:11:14.434	1	310	0065-0136653169	
17677	2014.06.17	06:11:14.862	2	1440	0065-0136653169	
17678	2014.06.17	06:11:16.191	1	329	0065-0136665886	
17679	2014.06.17	06:11:16.587	2	708	0065-0136665886	
17680	2014.06.17	06:11:17.418	2	410	0065-0136665886	
17681	2014.06.17	06:11:38.571	2	415	0065-0136665886	
17682	2014.06.17	06:11:39.031	1	501	0065-0136665886	
17685	2014.06.17	06:13:11.233	3	819	0065-0136653169	
17686	2014.06.17	06:13:12.338	4	5020	0065-0136653169	
17689	2014.06.17	06:13:28.173	1	322	0065-0136665886	
17690	2014.06.17	06:13:28.535	2	557	0065-0136665886	
17695	2014.06.17	06:14:48.177	2	410	0065-0136659459	
17697	2014.06.17	06:14:48.768	1	1241	0065-0136659459	
17698	2014.06.17	06:14:52.154	1	413	0065-0136653169	
17699	2014.06.17	06:14:52.937	2	1172	0065-0136653169	
17700	2014.06.17	06:14:55.862	2	214	0065-0136653169	
17701	2014.06.17	06:14:56.421	2	356	0065-0136653169	
17702	2014.06.17	06:14:56.820	2	531	0065-0136653169	
17703	2014.06.17	06:14:57.507	2	224	0065-0136653169	
17704	2014.06.17	06:15:00.431	2	326	0065-0136653169	
17705	2014.06.17	06:15:13.063	1	218	0065-0136659459	
17706	2014.06.17	06:15:13.500	2	940	0065-0136659459	
17707	2014.06.17	06:15:36.853	3	1026	0065-0136659459	
17708	2014.06.17	06:15:39.348	4	2499	0065-0136659459	
17713	2014.06.17	06:16:20.999	2	519	0065-0136651817	
17714	2014.06.17	06:16:21.825	1	1470	0065-0136651817	
17719	2014.06.17	06:17:55.240	4	611	0065-0136651817	
17720	2014.06.17	06:17:56.005	3	1827	0065-0136651817	
17721	2014.06.17	06:18:44.052	2	412	0065-0136651817	
17722	2014.06.17	06:18:44.542	1	547	0065-0136651817	
17723	2014.06.17	06:18:53.961	4	405	0065-0136659459	
17724	2014.06.17	06:18:54.556	3	2839	0065-0136659459	
17725	2014.06.17	06:19:00.491	2	412	0065-0136659459	
17726	2014.06.17	06:19:01.137	1	1143	0065-0136659459	
17727	2014.06.17	06:19:14.922	1	226	0065-0136651817	
17728	2014.06.17	06:19:15.172	2	227	0065-0136651817	
17729	2014.06.17	06:19:33.561	2	409	0065-0136651817	
17730	2014.06.17	06:19:34.153	1	697	0065-0136651817	
17735	2014.06.17	06:22:05.124	4	691	0065-0136651817	
17736	2014.06.17	06:22:06.108	3	4351	0065-0136651817	
17737	2014.06.17	06:22:16.342	2	514	0065-0136651817	
17738	2014.06.17	06:22:16.962	1	630	0065-0136651817	
17743	2014.06.17	06:24:02.629	4	406	0065-0136651817	
17744	2014.06.17	06:24:03.116	3	1648	0065-0136651817	
17745	2014.06.17	06:24:08.718	2	554	0065-0136651817	
17746	2014.06.17	06:24:09.250	1	905	0065-0136651817	
17751	2014.06.17	06:24:52.549	4	415	0065-0136651817	
17752	2014.06.17	06:24:52.947	3	1906	0065-0136651817	
17753	2014.06.17	06:29:11.419	3	630	0065-0136665886	
17754	2014.06.17	06:29:12.195	4	1044	0065-0136665886	
17755	2014.06.17	06:29:16.724	3	1330	0065-0136651817	
17756	2014.06.17	06:29:18.297	4	4243	0065-0136651817	
17763	2014.06.17	06:29:26.827	4	213	0065-0136665886	
17764	2014.06.17	06:29:27.092	3	342	0065-0136665886	
17765	2014.06.17	06:29:30.278	4	324	0065-0136651817	
17766	2014.06.17	06:29:30.639	3	1929	0065-0136651817	
17767	2014.06.17	06:29:36.373	2	426	0065-0136651817	
17768	2014.06.17	06:29:36.833	1	459	0065-0136651817	
17769	2014.06.17	06:29:37.296	1	216	0065-0136651817	
17770	2014.06.17	06:29:37.551	1	211	0065-0136651817	
17773	2014.06.17	06:32:58.148	3	808	0065-0136671473	
17774	2014.06.17	06:32:59.269	4	5135	0065-0136671473	
17781	2014.06.17	06:33:29.250	1	224	0065-0136671473	
17782	2014.06.17	06:33:29.490	1	213	0065-0136651817	
17783	2014.06.17	06:33:29.786	2	1154	0065-0136651817	
17784	2014.06.17	06:33:32.481	3	436	0065-0136671473	
17785	2014.06.17	06:33:32.910	4	1399	0065-0136671473	
17786	2014.06.17	06:33:34.652	4	230	0065-0136671473	
17787	2014.06.17	06:33:35.179	4	307	0065-0136671473	
17792	2014.06.17	06:34:09.284	4	533	0065-0136671473	
17793	2014.06.17	06:34:09.898	3	1710	0065-0136671473	
17794	2014.06.17	06:42:02.514	3	750	0065-0136670531	
17795	2014.06.17	06:42:03.526	4	3303	0065-0136670531	
17800	2014.06.17	06:42:41.870	1	310	0065-0136670531	
17801	2014.06.17	06:42:42.403	2	809	0065-0136670531	
17802	2014.06.17	06:42:54.401	2	508	0065-0136673193	
17803	2014.06.17	06:42:55.208	1	3122	0065-0136673193	
17808	2014.06.17	06:43:44.853	2	714	0065-0136665886	
17809	2014.06.17	06:43:45.970	1	846	0065-0136665886	
17810	2014.06.17	06:43:46.848	1	213	0065-0136665886	
17815	2014.06.17	06:44:09.530	1	438	0065-0136665886	
17816	2014.06.17	06:44:09.935	2	545	0065-0136665886	
17822	2014.06.17	06:44:56.586	2	507	0065-0136651817	
17823	2014.06.17	06:44:57.367	1	836	0065-0136651817	
17832	2014.06.17	06:45:09.660	4	319	0065-0136673193	
17833	2014.06.17	06:45:10.051	3	211	0065-0136673193	
17834	2014.06.17	06:45:10.027	4	433	0065-0136651817	
17835	2014.06.17	06:45:10.466	3	215	0065-0136651817	
17836	2014.06.17	06:46:46.306	3	505	0065-0136660676	
17837	2014.06.17	06:46:47.023	4	2219	0065-0136660676	
17842	2014.06.17	06:48:33.700	1	1824	0065-0136660676	
17843	2014.06.17	06:48:37.024	2	2618	0065-0136660676	
17844	2014.06.17	06:48:40.886	3	406	0065-0136660676	
17845	2014.06.17	06:48:41.477	4	1523	0065-0136660676	
17850	2014.06.17	06:52:49.203	4	418	0065-0136660676	
17851	2014.06.17	06:52:49.697	3	2278	0065-0136660676	
17852	2014.06.17	06:52:58.477	2	331	0065-0136660676	
17853	2014.06.17	06:52:58.876	1	1129	0065-0136660676	
17854	2014.06.17	06:53:42.947	1	429	0065-0136660676	
17855	2014.06.17	06:53:43.574	2	998	0065-0136660676	
17856	2014.06.17	06:54:20.454	3	1749	0065-0136659288	
17857	2014.06.17	06:54:22.685	4	5059	0065-0136659288	
17862	2014.06.17	06:55:03.513	1	409	0065-0136659288	
17863	2014.06.17	06:55:04.366	2	2220	0065-0136659288	
17864	2014.06.17	06:55:06.698	2	220	0065-0136659288	
17865	2014.06.17	06:55:11.859	2	313	0065-0136659288	
17866	2014.06.17	06:55:12.219	1	746	0065-0136659288	
17868	2014.06.17	06:55:40.025	2	595	0065-0136651817	
17869	2014.06.17	06:55:40.808	1	629	0065-0136651817	
17877	2014.06.17	06:57:05.707	3	723	0065-0136671473	
17878	2014.06.17	06:57:06.902	4	2488	0065-0136671473	
17881	2014.06.17	06:58:06.817	1	529	0065-0136651817	
17882	2014.06.17	06:58:07.482	2	819	0065-0136651817	
17885	2014.06.17	06:58:54.958	1	307	0065-0136659288	
17886	2014.06.17	06:58:55.459	2	3291	0065-0136659288	
17887	2014.06.17	06:59:01.372	3	374	0065-0136659288	
17888	2014.06.17	06:59:01.773	4	1347	0065-0136659288	
17895	2014.06.17	06:59:31.230	3	406	0065-0136655780	
17896	2014.06.17	06:59:31.725	4	2669	0065-0136655780	
17897	2014.06.17	07:00:18.551	2	458	0065-0136651817	
17898	2014.06.17	07:00:19.020	1	1254	0065-0136651817	
17900	2014.06.17	07:00:23.227	4	541	0065-0136659288	
17904	2014.06.17	07:00:23.982	3	5375	0065-0136659288	
