20186	2014.06.17	11:04:02.325	8	843	0065-0136670531	
20187	2014.06.17	11:04:03.179	7	2097	0065-0136670531	
20188	2014.06.17	11:04:12.447	7	598	0065-0136670531	
20189	2014.06.17	11:04:13.027	8	2195	0065-0136670531	
20190	2014.06.17	11:04:15.454	8	211	0065-0136670531	
20203	2014.06.17	11:06:45.246	8	525	0065-0136651817	
20204	2014.06.17	11:06:45.777	7	1032	0065-0136651817	
20205	2014.06.17	11:06:47.487	7	218	0065-0136651817	
20206	2014.06.17	11:06:49.078	6	435	0065-0136651817	
20207	2014.06.17	11:06:49.559	5	938	0065-0136651817	
20221	2014.06.17	11:11:51.983	8	733	0065-0136673193	
20222	2014.06.17	11:11:52.867	7	2580	0065-0136673193	
20223	2014.06.17	11:12:30.878	6	506	0065-0136673193	
20224	2014.06.17	11:12:31.535	5	2007	0065-0136673193	
20225	2014.06.17	11:12:37.733	5	312	0065-0136673193	
20226	2014.06.17	11:12:38.066	6	1991	0065-0136673193	
20227	2014.06.17	11:13:02.317	6	416	0065-0136673193	
20228	2014.06.17	11:13:02.765	5	1603	0065-0136673193	
20233	2014.06.17	11:14:30.400	8	1296	0065-0136673193	
20234	2014.06.17	11:14:31.741	7	2369	0065-0136673193	
20237	2014.06.17	11:14:38.040	6	816	0065-0136673193	
20238	2014.06.17	11:14:38.914	5	1504	0065-0136673193	
20250	2014.06.17	11:16:31.421	8	521	0065-0136670531	
20251	2014.06.17	11:16:32.039	7	2082	0065-0136670531	
20252	2014.06.17	11:16:36.668	6	403	0065-0136670531	
20253	2014.06.17	11:16:37.411	5	229	0065-0136670531	
20254	2014.06.17	11:16:37.714	5	1922	0065-0136670531	
20265	2014.06.17	11:18:43.144	5	545	0065-0136670531	
20266	2014.06.17	11:18:43.701	6	1960	0065-0136670531	
20270	2014.06.17	11:19:07.694	6	762	0065-0136670531	
20271	2014.06.17	11:19:08.703	5	1235	0065-0136670531	
20291	2014.06.17	11:22:04.484	5	211	0065-0136655780	
20292	2014.06.17	11:22:04.745	6	212	0065-0136655780	
20293	2014.06.17	11:22:04.707	5	312	0065-0136651817	
20294	2014.06.17	11:22:04.969	6	223	0065-0136651817	
20295	2014.06.17	11:22:05.577	7	317	0065-0136655780	
20296	2014.06.17	11:22:05.857	8	329	0065-0136655780	
20297	2014.06.17	11:22:06.041	7	324	0065-0136651817	
20298	2014.06.17	11:22:06.305	8	229	0065-0136651817	
