13117	2014.06.16	19:00:29.401	6	404	0065-0136671473	
13118	2014.06.16	19:00:30.058	5	1716	0065-0136671473	
13119	2014.06.16	19:00:40.573	2	308	0065-0136655780	
13120	2014.06.16	19:00:40.999	1	316	0065-0136655780	
13121	2014.06.16	19:00:42.693	8	309	0065-0136655780	
13122	2014.06.16	19:00:43.046	7	1140	0065-0136655780	
13123	2014.06.16	19:00:45.073	5	611	0065-0136671473	
13124	2014.06.16	19:00:45.759	6	1202	0065-0136671473	
13125	2014.06.16	19:00:50.536	6	311	0065-0136655780	
13126	2014.06.16	19:00:50.968	5	738	0065-0136655780	
13127	2014.06.16	19:01:10.932	7	511	0065-0136651817	
13128	2014.06.16	19:01:11.511	8	3180	0065-0136651817	
13129	2014.06.16	19:01:16.934	4	309	0065-0136655780	
13130	2014.06.16	19:01:17.366	3	780	0065-0136655780	
13131	2014.06.16	19:01:18.901	1	309	0065-0136651817	
13132	2014.06.16	19:01:19.333	2	754	0065-0136651817	
13133	2014.06.16	19:01:23.660	3	421	0065-0136651817	
13134	2014.06.16	19:01:24.413	2	323	0065-0136655780	
13135	2014.06.16	19:01:24.762	1	419	0065-0136655780	
13136	2014.06.16	19:01:24.282	4	1697	0065-0136651817	
13137	2014.06.16	19:01:29.896	8	308	0065-0136655780	
13138	2014.06.16	19:01:30.299	7	911	0065-0136655780	
13139	2014.06.16	19:01:32.266	7	409	0065-0136671473	
13140	2014.06.16	19:01:32.725	8	1696	0065-0136671473	
13141	2014.06.16	19:01:35.593	1	220	0065-0136671473	
13142	2014.06.16	19:01:35.900	2	517	0065-0136671473	
13143	2014.06.16	19:01:54.031	7	316	0065-0136655780	
13144	2014.06.16	19:01:54.417	8	1246	0065-0136655780	
13145	2014.06.16	19:01:57.013	1	216	0065-0136655780	
13146	2014.06.16	19:01:57.372	2	777	0065-0136655780	
13147	2014.06.16	19:02:02.276	2	307	0065-0136655780	
13148	2014.06.16	19:02:02.667	1	1303	0065-0136655780	
13149	2014.06.16	19:02:12.516	8	405	0065-0136655780	
13150	2014.06.16	19:02:12.872	7	968	0065-0136655780	
13151	2014.06.16	19:02:57.663	7	311	0065-0136659288	
13152	2014.06.16	19:02:57.994	8	1308	0065-0136659288	
13153	2014.06.16	19:03:18.527	3	1398	0065-0136671473	
13154	2014.06.16	19:03:20.063	4	2215	0065-0136671473	
13155	2014.06.16	19:03:25.135	5	579	0065-0136651817	
13156	2014.06.16	19:03:25.859	6	1491	0065-0136651817	
13157	2014.06.16	19:03:49.391	7	310	0065-0136655780	
13158	2014.06.16	19:03:49.751	8	515	0065-0136655780	
13159	2014.06.16	19:03:54.896	5	316	0065-0136671473	
13160	2014.06.16	19:03:55.253	6	2395	0065-0136671473	
13161	2014.06.16	19:03:58.898	1	307	0065-0136655780	
13162	2014.06.16	19:03:59.255	2	649	0065-0136655780	
13163	2014.06.16	19:04:02.106	6	516	0065-0136671473	
13164	2014.06.16	19:04:05.863	3	312	0065-0136655780	
13165	2014.06.16	19:04:06.261	4	699	0065-0136655780	
13166	2014.06.16	19:04:02.770	5	5280	0065-0136671473	
13167	2014.06.16	19:04:08.218	5	725	0065-0136671473	
13168	2014.06.16	19:04:22.087	7	1001	0065-0136651817	
13169	2014.06.16	19:04:23.457	8	5044	0065-0136651817	
13170	2014.06.16	19:04:39.144	5	307	0065-0136655780	
13171	2014.06.16	19:04:39.535	6	710	0065-0136655780	
13172	2014.06.16	19:04:41.849	1	322	0065-0136659288	
13173	2014.06.16	19:04:42.374	2	898	0065-0136659288	
13174	2014.06.16	19:04:44.116	2	500	0065-0136659288	
13175	2014.06.16	19:04:44.963	2	215	0065-0136659288	
13176	2014.06.16	19:04:47.097	7	313	0065-0136655780	
13177	2014.06.16	19:04:47.419	8	1049	0065-0136655780	
13178	2014.06.16	19:04:51.800	1	215	0065-0136655780	
13179	2014.06.16	19:04:52.136	2	408	0065-0136655780	
13180	2014.06.16	19:05:46.751	3	459	0065-0136655780	
13181	2014.06.16	19:05:47.250	4	811	0065-0136655780	
13182	2014.06.16	19:06:00.167	5	410	0065-0136655780	
13183	2014.06.16	19:06:00.561	6	1290	0065-0136655780	
13184	2014.06.16	19:06:31.431	7	424	0065-0136655780	
13185	2014.06.16	19:06:31.796	8	742	0065-0136655780	
13186	2014.06.16	19:06:34.982	1	317	0065-0136655780	
13187	2014.06.16	19:06:35.344	2	676	0065-0136655780	
13188	2014.06.16	19:06:59.101	2	4545	0065-0136659288	
13189	2014.06.16	19:07:03.860	1	601	0065-0136659288	
13190	2014.06.16	19:07:14.546	1	408	0065-0136651817	
13191	2014.06.16	19:07:15.108	2	810	0065-0136651817	
13192	2014.06.16	19:07:19.236	3	1334	0065-0136651817	
13193	2014.06.16	19:07:20.812	4	1210	0065-0136651817	
13194	2014.06.16	19:07:51.603	5	1650	0065-0136651817	
13195	2014.06.16	19:07:54.254	6	2273	0065-0136651817	
13196	2014.06.16	19:08:23.045	3	425	0065-0136655780	
13197	2014.06.16	19:08:23.542	4	723	0065-0136655780	
13198	2014.06.16	19:08:28.025	5	314	0065-0136655780	
13199	2014.06.16	19:08:28.433	6	2248	0065-0136655780	
13200	2014.06.16	19:08:44.814	6	934	0065-0136651817	
13201	2014.06.16	19:08:45.804	5	2099	0065-0136651817	
13202	2014.06.16	19:08:48.521	5	228	0065-0136651817	
13203	2014.06.16	19:08:50.268	4	313	0065-0136651817	
13204	2014.06.16	19:08:50.684	3	1525	0065-0136651817	
13205	2014.06.16	19:08:52.329	3	221	0065-0136651817	
13206	2014.06.16	19:09:14.607	7	435	0065-0136655780	
13207	2014.06.16	19:09:14.990	8	2427	0065-0136655780	
13208	2014.06.16	19:09:18.685	1	310	0065-0136655780	
13209	2014.06.16	19:09:19.069	2	660	0065-0136655780	
13210	2014.06.16	19:09:24.281	3	314	0065-0136655780	
13211	2014.06.16	19:09:24.692	4	619	0065-0136655780	
13212	2014.06.16	19:09:42.414	3	618	0065-0136651817	
13213	2014.06.16	19:09:43.078	4	1471	0065-0136651817	
13214	2014.06.16	19:09:45.665	4	413	0065-0136651817	
13215	2014.06.16	19:09:51.044	5	321	0065-0136655780	
13216	2014.06.16	19:09:51.399	6	807	0065-0136655780	
13217	2014.06.16	19:09:53.454	7	436	0065-0136655780	
13218	2014.06.16	19:09:53.871	8	933	0065-0136655780	
13219	2014.06.16	19:09:56.251	5	802	0065-0136671473	
13220	2014.06.16	19:09:57.101	6	1591	0065-0136671473	
13221	2014.06.16	19:09:58.748	6	214	0065-0136671473	
13222	2014.06.16	19:10:00.489	4	498	0065-0136651817	
13223	2014.06.16	19:10:00.978	3	3206	0065-0136651817	
13224	2014.06.16	19:10:04.417	7	410	0065-0136671473	
13225	2014.06.16	19:10:05.866	3	320	0065-0136651817	
13226	2014.06.16	19:10:04.846	8	2865	0065-0136671473	
13227	2014.06.16	19:10:21.682	1	324	0065-0136655780	
13228	2014.06.16	19:10:22.077	2	1127	0065-0136655780	
13229	2014.06.16	19:10:24.509	1	423	0065-0136671473	
13230	2014.06.16	19:10:25.305	2	2357	0065-0136671473	
13231	2014.06.16	19:10:33.533	2	620	0065-0136671473	
13232	2014.06.16	19:10:34.891	1	1400	0065-0136671473	
13233	2014.06.16	19:10:39.830	3	311	0065-0136655780	
13234	2014.06.16	19:10:40.219	4	627	0065-0136655780	
13235	2014.06.16	19:10:44.990	5	318	0065-0136655780	
13236	2014.06.16	19:10:45.348	6	1017	0065-0136655780	
13237	2014.06.16	19:11:06.542	3	871	0065-0136651817	
13238	2014.06.16	19:11:07.566	4	1027	0065-0136651817	
13239	2014.06.16	19:11:09.037	4	814	0065-0136651817	
13240	2014.06.16	19:11:10.709	5	308	0065-0136651817	
13241	2014.06.16	19:11:11.069	6	2057	0065-0136651817	
