228	2014.06.16	12:22:49.607	5	313	0065-0136655780	
229	2014.06.16	12:22:49.648	6	503	0065-0136659288	
230	2014.06.16	12:22:50.191	6	1212	0065-0136655780	
231	2014.06.16	12:22:52.444	6	311	0065-0136673193	
234	2014.06.16	12:22:52.865	5	1028	0065-0136673193	
239	2014.06.16	12:22:56.667	7	804	0065-0136659288	
240	2014.06.16	12:22:57.403	5	443	0065-0136670531	
241	2014.06.16	12:22:57.498	8	2608	0065-0136659288	
243	2014.06.16	12:22:57.987	6	2181	0065-0136670531	
244	2014.06.16	12:22:59.974	5	412	0065-0136651817	
246	2014.06.16	12:23:01.189	7	427	0065-0136670531	
247	2014.06.16	12:23:00.399	6	1475	0065-0136651817	
250	2014.06.16	12:23:03.147	6	502	0065-0136655780	
251	2014.06.16	12:23:03.154	7	602	0065-0136651817	
253	2014.06.16	12:23:01.619	8	3178	0065-0136670531	
256	2014.06.16	12:23:05.389	8	693	0065-0136651817	
259	2014.06.16	12:23:03.760	5	4235	0065-0136655780	
262	2014.06.16	12:23:08.041	8	317	0065-0136670531	
264	2014.06.16	12:23:09.814	8	512	0065-0136670531	
266	2014.06.16	12:23:10.341	8	313	0065-0136651817	
267	2014.06.16	12:23:10.762	7	411	0065-0136651817	
268	2014.06.16	12:23:11.454	6	211	0065-0136670531	
270	2014.06.16	12:23:11.685	5	309	0065-0136670531	
271	2014.06.16	12:23:11.869	6	221	0065-0136651817	
272	2014.06.16	12:23:12.067	5	224	0065-0136651817	
283	2014.06.16	12:23:20.597	5	526	0065-0136665886	
284	2014.06.16	12:23:20.661	8	1032	0065-0136655780	
285	2014.06.16	12:23:21.166	6	715	0065-0136665886	
287	2014.06.16	12:23:23.073	8	421	0065-0136660676	
289	2014.06.16	12:23:21.739	7	3033	0065-0136655780	
290	2014.06.16	12:23:24.887	7	1723	0065-0136660676	
300	2014.06.16	12:23:33.962	6	790	0065-0136665886	
301	2014.06.16	12:23:34.843	7	753	0065-0136660676	
302	2014.06.16	12:23:34.782	5	1313	0065-0136665886	
305	2014.06.16	12:23:36.491	8	4190	0065-0136660676	
308	2014.06.16	12:23:43.211	6	314	0065-0136655780	
309	2014.06.16	12:23:43.647	5	705	0065-0136655780	
312	2014.06.16	12:23:50.197	8	418	0065-0136673193	
313	2014.06.16	12:23:50.760	7	1843	0065-0136673193	
318	2014.06.16	12:23:57.972	6	421	0065-0136673193	
319	2014.06.16	12:24:00.915	8	731	0065-0136667521	
320	2014.06.16	12:23:58.423	5	3959	0065-0136673193	
321	2014.06.16	12:24:01.690	7	3154	0065-0136667521	
329	2014.06.16	12:24:12.210	5	453	0065-0136665886	
331	2014.06.16	12:24:12.093	7	1008	0065-0136667521	
333	2014.06.16	12:24:12.669	6	1299	0065-0136665886	
335	2014.06.16	12:24:14.043	6	308	0065-0136665886	
336	2014.06.16	12:24:14.538	6	469	0065-0136665886	
339	2014.06.16	12:24:13.200	8	3956	0065-0136667521	
345	2014.06.16	12:24:22.992	7	626	0065-0136665886	
346	2014.06.16	12:24:23.711	8	1493	0065-0136665886	
347	2014.06.16	12:24:26.954	8	515	0065-0136659288	
349	2014.06.16	12:24:27.483	7	4852	0065-0136659288	
351	2014.06.16	12:24:33.998	8	521	0065-0136651817	
352	2014.06.16	12:24:35.819	5	436	0065-0136655780	
353	2014.06.16	12:24:36.343	6	2214	0065-0136655780	
355	2014.06.16	12:24:34.625	7	4336	0065-0136651817	
357	2014.06.16	12:24:40.330	7	211	0065-0136651817	
358	2014.06.16	12:24:40.452	5	449	0065-0136659459	
359	2014.06.16	12:24:40.842	7	538	0065-0136655780	
360	2014.06.16	12:24:41.784	7	413	0065-0136659288	
362	2014.06.16	12:24:41.009	6	1405	0065-0136659459	
365	2014.06.16	12:24:42.369	8	2154	0065-0136659288	
367	2014.06.16	12:24:45.523	7	1898	0065-0136653169
369	2014.06.16	12:24:47.856	7	4589	0065-0136653169	
373	2014.06.16	12:24:57.703	6	531	0065-0136651817	
376	2014.06.16	12:24:58.263	5	2104	0065-0136651817	
378	2014.06.16	12:24:52.522	7	9219	0065-0136653169	
380	2014.06.16	12:25:00.819	5	1234	0065-0136660676	
382	2014.06.16	12:24:55.820	8	7843	0065-0136665886	
387	2014.06.16	12:25:02.351	6	2402	0065-0136660676	
391	2014.06.16	12:25:04.541	8	2400	0065-0136653169	
392	2014.06.16	12:25:06.953	8	1001	0065-0136661759	
393	2014.06.16	12:25:07.799	7	1415	0065-0136653169	
396	2014.06.16	12:25:09.285	7	1632	0065-0136661759	
397	2014.06.16	12:25:10.771	8	406	0065-0136673193	
398	2014.06.16	12:25:11.058	7	218	0065-0136661759	
401	2014.06.16	12:25:13.949	6	320	0065-0136661759	
402	2014.06.16	12:25:12.145	7	2715	0065-0136673193	
404	2014.06.16	12:25:14.350	5	936	0065-0136661759	
405	2014.06.16	12:25:15.674	6	779	0065-0136659459	
406	2014.06.16	12:25:17.259	7	551	0065-0136660676	
409	2014.06.16	12:25:17.848	8	4380	0065-0136660676	
411	2014.06.16	12:25:16.698	5	6554	0065-0136659459	
422	2014.06.16	12:25:30.867	8	514	0065-0136660676	
424	2014.06.16	12:25:31.490	8	409	0065-0136670531	
426	2014.06.16	12:25:31.466	7	934	0065-0136660676	
428	2014.06.16	12:25:32.409	7	1692	0065-0136670531	
430	2014.06.16	12:25:36.218	6	407	0065-0136660676	
432	2014.06.16	12:25:36.521	5	802	0065-0136661759	
433	2014.06.16	12:25:37.608	8	404	0065-0136667521	
434	2014.06.16	12:25:37.496	5	1042	0065-0136661759	
437	2014.06.16	12:25:38.694	5	627	0065-0136661759	
442	2014.06.16	12:25:38.065	7	2380	0065-0136667521	
443	2014.06.16	12:25:39.604	5	1934	0065-0136660676	
444	2014.06.16	12:25:37.176	6	4814	0065-0136670531	
446	2014.06.16	12:25:41.996	7	323	0065-0136673193	
448	2014.06.16	12:25:42.447	5	805	0065-0136665886	
451	2014.06.16	12:25:43.677	6	915	0065-0136670531	
454	2014.06.16	12:25:42.463	8	3303	0065-0136673193	
455	2014.06.16	12:25:45.020	6	1201	0065-0136665886	
456	2014.06.16	12:25:45.387	5	1496	0065-0136670531	
457	2014.06.16	12:25:48.199	8	519	0065-0136651817	
459	2014.06.16	12:25:48.756	7	1019	0065-0136651817	
461	2014.06.16	12:25:50.035	7	488	0065-0136651817	
465	2014.06.16	12:25:55.915	7	710	0065-0136665886	
466	2014.06.16	12:25:56.632	8	409	0065-0136665886	
467	2014.06.16	12:25:57.160	8	1183	0065-0136665886	
469	2014.06.16	12:25:59.159	7	416	0065-0136651817	
470	2014.06.16	12:25:59.651	8	1592	0065-0136651817	
471	2014.06.16	12:26:02.610	7	421	0065-0136661759	
472	2014.06.16	12:26:03.038	8	2480	0065-0136661759	
474	2014.06.16	12:26:07.692	7	442	0065-0136667521	
483	2014.06.16	12:26:08.214	8	5072	0065-0136667521	
486	2014.06.16	12:26:14.396	8	334	0065-0136655780	
492	2014.06.16	12:26:14.835	7	2975	0065-0136655780	
495	2014.06.16	12:26:20.165	6	341	0065-0136655780	
496	2014.06.16	12:26:20.434	5	348	0065-0136670531	
497	2014.06.16	12:26:20.993	5	1396	0065-0136655780	
502	2014.06.16	12:26:26.185	5	448	0065-0136660676	
504	2014.06.16	12:26:26.747	6	2280	0065-0136660676	
506	2014.06.16	12:26:29.654	6	716	0065-0136660676	
507	2014.06.16	12:26:30.389	6	226	0065-0136660676	
508	2014.06.16	12:26:30.705	8	405	0065-0136671473	
509	2014.06.16	12:26:31.199	7	1402	0065-0136671473	
513	2014.06.16	12:26:36.631	5	882	0065-0136651817	
514	2014.06.16	12:26:37.367	7	437	0065-0136660676	
516	2014.06.16	12:26:37.704	6	1191	0065-0136651817	
517	2014.06.16	12:26:37.893	8	1193	0065-0136660676	
518	2014.06.16	12:26:41.760	8	212	0065-0136660676	
519	2014.06.16	12:26:42.035	6	814	0065-0136671473	
520	2014.06.16	12:26:42.851	6	683	0065-0136671473	
521	2014.06.16	12:26:43.551	7	624	0065-0136651817	
522	2014.06.16	12:26:43.677	5	2091	0065-0136671473	
523	2014.06.16	12:26:44.411	8	2705	0065-0136651817	
524	2014.06.16	12:26:47.622	8	216	0065-0136651817	
526	2014.06.16	12:26:48.421	5	323	0065-0136667521	
531	2014.06.16	12:26:48.904	6	2472	0065-0136667521	
532	2014.06.16	12:26:52.334	5	421	0065-0136659459	
540	2014.06.16	12:26:53.824	6	3059	0065-0136659459	
545	2014.06.16	12:26:59.228	7	431	0065-0136659459	
548	2014.06.16	12:26:59.699	8	6018	0065-0136659459	
550	2014.06.16	12:27:05.928	8	911	0065-0136659459	
553	2014.06.16	12:27:10.720	8	440	0065-0136659288	
557	2014.06.16	12:27:14.139	5	308	0065-0136670531	
558	2014.06.16	12:27:11.275	7	3268	0065-0136659288	
